Id,Name,Tel,Add,Px,Py
168,猴硐煤礦博物園區,886-2-24974143,新北市224瑞芳區猴硐柴寮路42號(猴硐火車站正對面),121.82785,25.08687
169,淡水紅樓,886-2-86311168,新北市251淡水區三民街2巷6號,121.43941,25.17142
170,新店老街,886-2-29112281,新北市231新店區新店路,121.53706,24.95689
171,菁桐電子天燈館,886-2-24952358,新北市226平溪區靜安路2段141號,121.72252,25.02336
172,石碇五路財神廟,886-2-26633372,新北市223石碇區永定村大湖格20之1號 ‎,121.69742,25.01703
173,新北市軍人忠靈祠(武器公園),886-2-26894924,新北市238樹林區忠義街25號,121.40953,25.01347
174,法鼓山,886-2-24987171,新北市208金山區三界里法鼓路555號,121.61489,25.23984
175,華新街(緬甸街),886-2-22482688,新北市235中和區華新街,121.5082,24.9838
176,三和夜市,886-2-29862345,新北市241三重區中央北路,121.50055,25.06498
177,新莊廟街夜市,886-2-29929891,新北市242新莊區新莊路,121.45082,25.03364
178,淡水龍山寺,886-2-26214866,新北市251淡水區清文里中山路95巷22號,121.44203,25.17005
179,新北市立十三行博物館,886-2-26191313,新北市249八里區博物館路200號,121.40485,25.15688
180,新北市坪林茶業博物館,886-2-26656035,新北市232坪林區水德里水聳淒坑19-1號,121.713,24.93443
181,無耳茶壺山步道,886-2-24063270,新北市224瑞芳區金瓜石,121.862,25.10952
182,瑞芳老街,886-2-24972250,新北市224瑞芳區瑞芳路逢甲路、瑞芳街一帶,121.80655,25.10954
183,十分老街,886-2-24951510,新北市226平溪區十分老街,121.77667,25.04269
184,平溪老街,886-2-24951510,新北市226平溪區平溪街,121.73882,25.02533
185,十分車站,886-2-24958307,新北市226平溪區十分街51號,121.77501,25.04099
186,新北市立鶯歌陶瓷博物館,886-2-86772727,新北市239鶯歌區文化路200號,121.35203,24.94925
187,烏來老街,886-2-26616442,新北市233烏來區烏來街,121.55162,24.86414
188,烏來溫泉,886-2-26616442,新北市233烏來區烏來街、溫泉街與環山路一帶,121.55034,24.8634
189,金色水岸自行車道,886-2-89699596,新北市251淡水區渡船頭,121.46121,25.12518
190,淡水老街,886-2-26221020,新北市251淡水區中正路、重建街、清水街一帶,121.43855,25.17103
191,北海岸及觀音山國家風景區,886-2-86355100,新北市253石門區德茂里下員坑33-6號,121.51913,25.28331
192,白沙灣海水浴場,886-2-86355100,新北市253石門區德茂里八甲1-2號(2號省道23公里處),121.51718,25.28418
193,老梅石槽,886-2-26381721,新北市253石門區下員坑,121.54546,25.29209
194,舊草嶺隧道,886-2-24991115,新北市228貢寮區福隆里,121.95834,25.00395
195,黃金瀑布,886-2-24972250,新北市224瑞芳區金水公路,121.86157,25.11718
196,水湳洞,886-2-24972250,新北市224瑞芳區水湳洞,121.86035,25.12248
197,紅毛城園區(新北市立淡水古蹟博物館),886-2-26231001,新北市251淡水區中正路28巷1號,121.43294,25.17543
198,朱銘美術館,886-2-24989940,新北市208金山區西勢湖2號,121.61119,25.24645
199,金山老街(金包里老街),886-2-24985965,新北市208金山區金包里街,121.63827,25.22183
200,滿月圓國家森林遊樂區,886-2-26720004,新北市237三峽區有木里174-1號,121.4447,24.83043
201,福隆海水浴場,886-2-24991188,新北市228貢寮區福隆里福隆街42號,121.94421,25.02167
202,九份老街,886-2-24063270,新北市224瑞芳區基山街,121.84518,25.10989
203,水湳洞十三層遺址,886-2-24972250,新北市224瑞芳區(約九份溪出海口兩岸),121.86466,25.11827
204,猴硐,886-2-24971266,新北市224瑞芳區猴硐柴寮路70號(猴硐車站),121.82742,25.08701
205,三貂角燈塔,886-2-24991300,新北市228貢寮區福連里馬崗街38號,122.00189,25.00755
206,菁桐車站,886-2-24972033,新北市226平溪區菁桐里菁桐街52號,121.72376,25.02383
207,雲仙樂園,886-2-26616510,新北市233烏來區瀑布路1-1號,121.55391,24.8452
208,大華車站,886-2-24972033,新北市226平溪區226六分12號旁,121.79794,25.04982
209,一滴水紀念館,886-2-26263350,新北市251淡水區中正路一段6巷30號(和平公園內),121.43077,25.17822
210,磅坑口,886-2-24972250,新北市224瑞芳區九份輕便路輕便路350號旁,121.83952,25.10875
211,昇平戲院,886-2-24969926,新北市224瑞芳區輕便路137號,121.84341,25.10873
212,翁山英故居(九份茶坊),886-2-24969056,新北市224瑞芳區九份基山街142號,121.84354,25.10815
213,十八王公廟,886-2-26382453,新北市253石門區乾華里阿里磅1號之1,121.58623,25.29205
214,湧蓮寺,886-2-22818642,新北市247蘆洲區得勝街96號,121.47135,25.08326
215,淡水渡船頭,886-2-86301845,新北市251淡水區環河道路,121.4388,25.17003
